"https://pasta.lternet.edu/package/metadata/eml/ecotrends/37/2","https://pasta.lternet.edu/package/data/eml/ecotrends/37/2/52018660bd23082e599a45e951eeb62c"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/e9b568a061d50692a3b0b86d59d89fff"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/2f51fdbc7164288e9d74a5a1b98c0d29"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/8830e3c665f5d2d2a41e8f605c2f8abc"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/efb7694bf86542175baa32907da4d171"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/5ec868061fceb612137c1cc4eed40c0b"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/00589bd232f28984e46a726f52b58a7b"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/2c1161e5a7026bc74b1b58a62504e4f9"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/aefc2dc99eeb4be9068754212367a1ab"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/d8ceb557a44f2565b34bb1a358eeac4e"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/2ca707af25e7dbe65d5533c0c177ffcc"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/1569dfaa6370ca264a05812043535226"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/01ce9110941aff2499ff0c7d22bdfc68"
"https://pasta.lternet.edu/package/metadata/eml/lter-landsat/5755/1","https://pasta.lternet.edu/package/data/eml/lter-landsat/5755/1/32706ca85cfa6af02fe68acc8146a9d1"
