"doi:10.5063/F100001W","df35d.67.1"
"doi:10.5063/F100001W","df35d.40.1"
"doi:10.5063/F100001W","df35d.57.2"
"doi:10.5063/F100001W","df35d.24.2"
"doi:10.5063/F100001W","df35d.92.3"
"doi:10.5063/F100001W","df35d.58.2"
"doi:10.5063/F100001W","df35d.37.1"
"doi:10.5063/F100001W","df35d.38.1"
"doi:10.5063/F100001W","df35d.43.1"
"doi:10.5063/F100001W","df35d.41.1"
"doi:10.5063/F100001W","df35d.32.1"
"doi:10.5063/F100001W","df35d.33.1"
"doi:10.5063/F100001W","df35d.66.1"
"doi:10.5063/F100001W","df35d.52.1"
"doi:10.5063/F100001W","df35d.70.1"
"doi:10.5063/F100001W","df35d.227.1"
"doi:10.5063/F100001W","df35d.42.1"
"doi:10.5063/F100001W","df35d.59.2"
"doi:10.5063/F100001W","df35d.61.1"
"doi:10.5063/F100001W","df35d.34.1"
"doi:10.5063/F100001W","df35d.72.1"
"doi:10.5063/F100001W","df35d.68.1"
"doi:10.5063/F100001W","df35d.23.1"
"doi:10.5063/F100001W","df35d.73.2"
"doi:10.5063/F100001W","df35d.69.1"
"doi:10.5063/F100001W","df35d.36.1"
"doi:10.5063/F100001W","df35d.60.2"
"doi:10.5063/F100001W","df35d.65.1"
"doi:10.5063/F100001W","df35d.53.1"
"doi:10.5063/F100001W","df35d.55.2"
"doi:10.5063/F100001W","df35d.51.1"
"doi:10.5063/F100001W","df35d.63.1"
"doi:10.5063/F100001W","df35d.54.1"
"doi:10.5063/F100001W","df35d.49.1"
"doi:10.5063/F100001W","df35d.64.1"
"doi:10.5063/F100001W","df35d.46.1"
"doi:10.5063/F100001W","df35d.30.1"
"doi:10.5063/F100001W","df35d.56.1"
"doi:10.5063/F100001W","df35d.48.1"
"doi:10.5063/F100001W","df35d.47.1"
"df35b.273.7","df35b.281.1"
"df35b.273.7","df35b.250.3"
"df35b.273.7","df35b.249.2"
"df35b.273.7","df35b.276.1"
"doi:10.5063/F15H7D6G","df35d.94.5"
"df35b.298.15","df35b.296.15"
"df35b.298.15","df35b.300.6"
"df35j.63.21","df35j.76.1"
"df35j.63.21","df35j.79.1"
"df35j.63.21","df35j.78.1"
"16a868af-5821-46e3-9658-4e83a60d8bf6-PRISM-T-min-celcius-RioArriba.xml","16a868af-5821-46e3-9658-4e83a60d8bf6-PRISM-T-min-celcius-RioArriba.xlsx"
"0887b97f-7327-4a01-933e-e81ae24628e4-20160621-sajddh-tray10_11-121-11-Enr-4-Rla_summary_Calc_last.xml","0887b97f-7327-4a01-933e-e81ae24628e4-20160621-sajddh-tray10_11-121-11-Enr-4-Rla_summary_Calc_last.csv"
"6444955f-d86d-491a-b1a5-dbc39bb4c697-20160610-sajddh-tray9-222-9-Post-1-Rla_summary_Calc_last.xml","6444955f-d86d-491a-b1a5-dbc39bb4c697-20160610-sajddh-tray9-222-9-Post-1-Rla_summary_Calc_last.csv"
"e2dd8f8d-69de-46b3-81e8-aa4102352c04-20160610-sajddh-tray9-222-9-Post-2-Rla_summary_Calc_last.xml","e2dd8f8d-69de-46b3-81e8-aa4102352c04-20160610-sajddh-tray9-222-9-Post-2-Rla_summary_Calc_last.csv"
"25dad8b3-f22c-4daf-8c3a-01b0d2f94afc-PRISM-Precip-mm-Grant.xml","25dad8b3-f22c-4daf-8c3a-01b0d2f94afc-PRISM-Precip-mm-Grant.xlsx"
